# [0]           [1]         [2]           [3]        [4]             [5]                   [6]
# String number,String name,float credits,Enum Group,int[] semesters,List<String> keywords,List<String> prereqs

# COMP_CORE
COMP 228,System Hardware,3.00,COMP_CORE,2:4,hardware:network:logic,COMP 248
COMP 232,Mathematics for Computer Science,3.00,COMP_CORE,2:4,mathematics:logic,
COMP 233,Probability and Statistics for Computer Science,3.00,COMP_CORE,1:2:4,probability,COMP 232
COMP 248,Object-Oriented Programming I,3.00,COMP_CORE,2:4,programming,
COMP 249,Object-Oriented Programming II,3.00,COMP_CORE,1:2:4,programming,COMP 232:COMP 248
COMP 335,Introduction to Theoretical Computer Science,3.00,COMP_CORE,1:2:4,:logic,COMP 232:COMP 249
COMP 346,Operating Systems,4.00,COMP_CORE,1:2:4,operating systems:hardware:concurrency,COMP 228:COMP 352
COMP 348,Principles of Programming Languages,3.00,COMP_CORE,1:2:4,logic:programming:design,COMP 249
COMP 352,Data Structures and Algorithms,3.00,COMP_CORE,1:2:4,algorithms:data structures:logic,COMP 232:COMP 249
COMP 354,Introduction to Software Engineering,4.00,COMP_CORE,1:2:4,program design,COMP 352:ENCS 282

# ENCS_CORE
ENCS 282,Technical Writing and Communication,3.00,ENCS_CORE,1:2:4,writing:communication,
ENCS 393,Social and Ethical Dimensions of Information and Communication Technologies,3.00,ENCS_CORE,2:4,writing:ethics:communication,ENCS 282

#MATH_ELEC
COMP 339,Combinatorics,3.00,MATH_ELEC,4,combinatorics:logic:mathematics,COMP 232
COMP 361,Elementary Numerical Methods,3.00,MATH_ELEC:SSYS_ELEC,2:4,algorithms:logic:mathematics,COMP 232:COMP 249
COMP 367,Techniques in Symbolic Computation,3.00,MATH_ELEC,4,mathematics:logic,COMP 232:COMP 248
ENGR 213,Applied Ordinary Differential Equations,3.00,MATH_ELEC,1:2:4,mathematics:calculus,
ENGR 233,Applied Advanced Calculus,3.00,MATH_ELEC,1:2:4,mathematics:calculus,ENGR 213
MAST 218,Multivariable Calculus I,3.00,MATH_ELEC,2:4,mathematics:calculus,
MAST 219,Multivariable Calculus II,3.00,MATH_ELEC,4,mathematics:calculus,MAST 218
MAST 224,Introduction to Optimization,3.00,MATH_ELEC,4,mathematics:logic:algorithms:data structures,
MAST 234,Linear Algebra and Applications I,3.00,MATH_ELEC,2:4,mathematics:algebra,
MAST 235,Linear Algebra and Applications II,3.00,MATH_ELEC,2:4,mathematics:algebra,MAST 234
MAST 332,Techniques in Symbolic Computation,3.00,MATH_ELEC,4,mathematics:cryptography:algorithms:logic,COMP 238
MAST 334,Numerical Analysis,3.00,MATH_ELEC,2,mathematics:algorithms:logic,ENGR 213
MATH 392,Elementary Number Theory,3.00,MATH_ELEC,2,mathematics:logic,

# GAMES_ELEC
COMP 345,Advanced Program Design with C++,3.00,GAMES_ELEC:CSYS_ELEC:ART_ELEC,2:4,programming:program design,COMP 352
COMP 353,Databases,4.00,GAMES_ELEC:ISYS_ELEC:SSYS_ELEC:WEB_ELEC,1:2:4,databases:logic,COMP 352
COMP 371,Computer Graphics,4.00,GAMES_ELEC:ART_ELEC,1:2:4,mathematics:computer graphics:algorithms:hardware,COMP 244:COMP 352
COMP 376,Introduction to Game Development,4.00,GAMES_ELEC,1:2,mathematics:algorithms:data structures,COMP 371
COMP 472,Artificial Intelligence,4.00,GAMES_ELEC,2:4,artificial intelligence:algorithms,COMP 352
COMP 476,Advanced Game Development,4.00,GAMES_ELEC,2:4,computer graphics:artificial intelligence:algorithms,COMP 361:COMP 376
